x y z
7.776062770033 5000 0.415233858368
7.776062770033 10131.5789473684 0.455352067744
7.776062770033 15263.1578947368 0.477831725764
7.776062770033 20394.7368421053 0.522286282932
7.776062770033 25526.3157894737 0.535779638444
7.776062770033 30657.8947368421 0.534551462612
7.776062770033 35789.4736842105 0.527859650572
7.776062770033 40921.0526315789 0.523194240824
7.776062770033 46052.6315789474 0.519109045204
7.776062770033 51184.2105263158 0.519247162292
7.776062770033 56315.7894736842 0.522600599224
7.776062770033 61447.3684210526 0.52211652906
7.776062770033 66578.9473684211 0.520798987976
7.776062770033 71710.5263157895 0.52018485252
7.776062770033 76842.1052631579 0.521752845932
7.776062770033 81973.6842105263 0.521615767872
7.776062770033 87105.2631578947 0.523920787204
7.776062770033 92236.8421052632 0.521989656092
7.776062770033 97368.4210526316 0.523264442224
7.776062770033 102500 0.524053298928
7.776062770033 107631.578947368 0.52291389644
7.776062770033 112763.157894737 0.523734810592
7.776062770033 117894.736842105 0.521456986104
7.776062770033 123026.315789474 0.523688285896
7.776062770033 128157.894736842 0.521693855288
7.776062770033 133289.473684211 0.523949589528
7.776062770033 138421.052631579 0.520312501088
7.776062770033 143552.631578947 0.522639902908
7.776062770033 148684.210526316 0.524147758216
7.776062770033 153815.789473684 0.524802463204
7.776062770033 158947.368421053 0.52134030008
7.776062770033 164078.947368421 0.523023697616
7.776062770033 169210.526315789 0.522421660568
7.776062770033 174342.105263158 0.523693852568
7.776062770033 179473.684210526 0.523928702448
7.776062770033 184605.263157895 0.525233203304
7.776062770033 189736.842105263 0.525544323388
7.776062770033 194868.421052632 0.523440315536
7.776062770033 2e+05 0.520841074404
5.25377462779648 5000 0.505583570628
5.25377462779648 10131.5789473684 0.542409199808
5.25377462779648 15263.1578947368 0.54324087096
5.25377462779648 20394.7368421053 0.538849869956
5.25377462779648 25526.3157894737 0.546909203992
5.25377462779648 30657.8947368421 0.54370523054
5.25377462779648 35789.4736842105 0.545311137248
5.25377462779648 40921.0526315789 0.542572001088
5.25377462779648 46052.6315789474 0.543095637788
5.25377462779648 51184.2105263158 0.540737654524
5.25377462779648 56315.7894736842 0.539424763008
5.25377462779648 61447.3684210526 0.53873408104
5.25377462779648 66578.9473684211 0.538064913332
5.25377462779648 71710.5263157895 0.539968430708
5.25377462779648 76842.1052631579 0.536963179216
5.25377462779648 81973.6842105263 0.538784294776
5.25377462779648 87105.2631578947 0.535321824596
5.25377462779648 92236.8421052632 0.534512534484
5.25377462779648 97368.4210526316 0.533013284504
5.25377462779648 102500 0.533971948828
5.25377462779648 107631.578947368 0.534934293424
5.25377462779648 112763.157894737 0.534443876712
5.25377462779648 117894.736842105 0.537121586436
5.25377462779648 123026.315789474 0.535670026924
5.25377462779648 128157.894736842 0.533268884392
5.25377462779648 133289.473684211 0.535000605708
5.25377462779648 138421.052631579 0.534870916976
5.25377462779648 143552.631578947 0.532648543764
5.25377462779648 148684.210526316 0.53287607264
5.25377462779648 153815.789473684 0.535157396028
5.25377462779648 158947.368421053 0.533319030684
5.25377462779648 164078.947368421 0.53531554374
5.25377462779648 169210.526315789 0.528367489
5.25377462779648 174342.105263158 0.533516924232
5.25377462779648 179473.684210526 0.533421201068
