x y z NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 66.8150742760989 5000 0.453648243172
130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 130.123095749587 10270.2702702703 0.473542531668
151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 151.576945689607 15540.5405405405 0.472359158392
165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 165.730058121023 20810.8108108108 0.46694924162
138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 138.423708383164 26081.0810810811 0.480339853496
113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 113.158172883071 31351.3513513513 0.475463470708
47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 47.9327280551652 36621.6216216216 0.469771538316
32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 32.0168241401272 41891.8918918919 0.468562138948
141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 141.439628189367 47162.1621621622 0.468860774072
40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 40.9655455301889 52432.4324324324 0.466575377632
